# [2026-09-25 16:02:54] START: training/train_expert.py --name coding --steps 3000 --backend numpy
# step,loss,lr,steps_per_sec,timestamp
# [2026-09-25 16:02:54] CONVERSATIONS: 2180 blocks, window=4
# [2026-09-25 16:14:19] RESUME: training/train_expert.py --name coding --steps 4000 --resume --push 500 --batch 4 --log 25 --sample 500 --backend mlx
# [2026-09-25 16:14:19] CONVERSATIONS: 2180 blocks, window=4
25,0.0062,1.00e-04,2.36,1790367270.05811
50,0.0060,1.00e-04,2.38,1790367280.546613
75,0.0057,1.00e-04,2.41,1790367290.900046
100,0.0061,1.00e-04,2.42,1790367301.2182012
125,0.0057,1.00e-04,2.31,1790367312.036012
150,0.0059,1.00e-04,2.35,1790367322.666311
175,0.0062,1.00e-04,2.23,1790367333.8705752
200,0.0058,1.00e-04,2.23,1790367345.1041868
225,0.0060,1.00e-04,2.24,1790367356.278662
250,0.0056,1.00e-04,2.44,1790367366.501811
275,0.0052,1.00e-04,2.42,1790367376.8348658
300,0.0066,1.00e-04,2.39,1790367387.3090858
325,0.0060,1.00e-04,2.41,1790367397.702064
350,0.0055,1.00e-04,2.41,1790367408.075572
375,0.0061,1.00e-04,2.41,1790367418.4393191
400,0.0056,1.00e-04,2.37,1790367428.9898062
425,0.0093,1.00e-04,2.40,1790367439.4195788
450,0.0110,1.00e-04,2.39,1790367449.894115
475,0.0077,1.00e-04,2.33,1790367460.621691
500,0.0053,1.00e-04,2.56,1790367470.381186
# [2026-09-25 16:17:50] SAMPLE step 500:
# 
# User: what is a test suite configuration
# 
# Joe: 
525,0.0050,1.00e-04,0.95,1790367496.759681
550,0.0054,1.00e-04,2.43,1790367507.059731
575,0.0054,1.00e-04,2.42,1790367517.37417
600,0.0056,1.00e-04,2.43,1790367527.657729
625,0.0050,1.00e-04,2.43,1790367537.9441369
650,0.0055,1.00e-04,2.41,1790367548.318963
675,0.0055,1.00e-04,2.46,1790367558.49974
700,0.0057,1.00e-04,2.45,1790367568.688194
725,0.0057,1.00e-04,2.43,1790367578.982534
750,0.0056,1.00e-04,2.47,1790367589.121284
775,0.0060,1.00e-04,2.47,1790367599.262212
800,0.0072,1.00e-04,2.47,1790367609.392148
825,0.0072,1.00e-04,2.47,1790367619.5056791
850,0.0076,1.00e-04,2.45,1790367629.689989
875,0.0074,1.00e-04,2.48,1790367639.758564
900,0.0060,1.00e-04,2.45,1790367649.9782941
925,0.0069,1.00e-04,2.44,1790367660.2067971
950,0.0057,1.00e-04,2.45,1790367670.424273
975,0.0059,1.00e-04,2.98,1790367678.8270779
1000,0.0053,1.00e-04,4.63,1790367684.229228
# [2026-09-25 16:21:24] SAMPLE step 1000:
# 
# Joe: A min-heap gives O(1) access to the
1025,0.0062,1.00e-04,1.41,1790367701.947648
1050,0.0055,1.00e-04,2.48,1790367712.038919
1075,0.0057,1.00e-04,2.44,1790367722.278039
1100,0.0065,1.00e-04,2.47,1790367732.393322
1125,0.0054,1.00e-04,2.44,1790367742.6552262
1150,0.0058,1.00e-04,2.44,1790367752.904181
1175,0.0059,1.00e-04,2.46,1790367763.068643
1200,0.0050,1.00e-04,2.45,1790367773.260013
1225,0.0059,1.00e-04,2.48,1790367783.34846
1250,0.0055,1.00e-04,2.47,1790367793.488439
1275,0.0052,1.00e-04,2.45,1790367803.6861088
1300,0.0063,1.00e-04,2.47,1790367813.795945
1325,0.0052,1.00e-04,2.47,1790367823.9082508
1350,0.0051,1.00e-04,2.45,1790367834.112691
1375,0.0055,1.00e-04,2.45,1790367844.325839
1400,0.0056,1.00e-04,2.46,1790367854.482819
1425,0.0059,1.00e-04,2.48,1790367864.560369
1450,0.0054,1.00e-04,2.45,1790367874.77299
1475,0.0053,1.00e-04,2.61,1790367884.346833
1500,0.0059,1.00e-04,4.57,1790367889.8166149
# [2026-09-25 16:24:49] SAMPLE step 1500:
# 
# Joe: Both approaches are O(n) time because 
